list_index,source_year,source_listed_author,source_title,source_journal,canonical_title,lead_author,coauthors,full_author_list,author_count_in_list,author_list_status,publication_type,publication_year,journal_or_source,volume_issue_pages,doi,pmid,pmcid,canonical_article_url,duplicate_of_list_index,metadata_status,notes,metadata_retrieved_date,reach_publications_page
42,2016,"Christensen, K. Y. et al.","Fish Consumption, Levels of Nutrients and Contaminants, and Endocrine-Related Health Outcomes Among Older Male Anglers in Wisconsin",Journal of Occupational and Environmental Medicine,"Fish Consumption, Levels of Nutrients and Contaminants, and Endocrine-Related Health Outcomes Among Older Male Anglers in Wisconsin",Krista Y Christensen,Michelle R Raymond; Brooke A Thompson; Henry A Anderson,Krista Y Christensen; Michelle R Raymond; Brooke A Thompson; Henry A Anderson,4,complete,Journal article,2016,Journal of Occupational and Environmental Medicine,58(7):668-675,10.1097/JOM.0000000000000758,27253230,,https://doi.org/10.1097/JOM.0000000000000758,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
43,2017,"Schultz, A. A. et al.",Allergic disease associations with regional and localized estimates of air pollution,Environmental Research,Allergic disease associations with regional and localized estimates of air pollution,Amy A Schultz,James J Schauer; Kristen M Malecki,Amy A Schultz; James J Schauer; Kristen M Malecki,3,complete,Journal article,2017,Environmental Research,155:77-85,10.1016/j.envres.2017.01.039,28193558,PMC6230689,https://doi.org/10.1016/j.envres.2017.01.039,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
44,2017,"Malecki, K. M. et al.",Private-well stewardship among a general population based sample of private well-owners,The Science of the Total Environment,Private-well stewardship among a general population based sample of private well-owners,Kristen M C Malecki,Amy A Schultz; Dolores J Severtson; Henry A Anderson; James A VanDerslice,Kristen M C Malecki; Amy A Schultz; Dolores J Severtson; Henry A Anderson; James A VanDerslice,5,complete,Journal article,2017,Science of the Total Environment,601-602:1533-1543,10.1016/j.scitotenv.2017.05.284,28605871,PMC5662198,https://doi.org/10.1016/j.scitotenv.2017.05.284,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
45,2018,Gorzelitz. J.et at al.,Predictors of discordance in self-report versus device-measured physical activity measurement,Annals of Epidemiology,Predictors of discordance in self-report versus device-measured physical activity measurement,Jessica S Gorzelitz,Paul E Peppard; Kristen M C Malecki; Keith P Gennuso; F Javier Nieto; Lisa Cadmus-Bertram,Jessica S Gorzelitz; Paul E Peppard; Kristen M C Malecki; Keith P Gennuso; F Javier Nieto; Lisa Cadmus-Bertram,6,complete,Journal article,2018,Annals of Epidemiology,28(7):427-431,10.1016/j.annepidem.2018.03.016,29681429,PMC6500726,https://doi.org/10.1016/j.annepidem.2018.03.016,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
46,2018,"Nikodemova, M. et al.",Transcriptional differences between smokers and non-smokers and variance by obesity as a risk factor for human sensitivity to environmental exposures,Environment International,Transcriptional differences between smokers and non-smokers and variance by obesity as a risk factor for human sensitivity to environmental exposures,Maria Nikodemova,Jeremiah Yee; Patrick R Carney; Christopher A Bradfield; Kristen M C Malecki,Maria Nikodemova; Jeremiah Yee; Patrick R Carney; Christopher A Bradfield; Kristen M C Malecki,5,complete,Journal article,2018,Environment International,113:249-258,10.1016/j.envint.2018.02.016,,PMC5866236,https://doi.org/10.1016/j.envint.2018.02.016,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
47,2018,"Malecki, K. M. et al.",Neighborhood Perceptions and Cumulative Impacts of Low Level Chronic Exposure to Fine Particular Matter (PM2.5) on Cardiopulmonary Health,International Journal of Environmental Research and Public Health,Neighborhood Perceptions and Cumulative Impacts of Low Level Chronic Exposure to Fine Particular Matter (PM2.5) on Cardiopulmonary Health,Kristen M C Malecki,Amy A Schultz; Rachel S Bergmans,Kristen M C Malecki; Amy A Schultz; Rachel S Bergmans,3,complete,Journal article,2018,International Journal of Environmental Research and Public Health,15(1):84,10.3390/ijerph15010084,29316641,,https://doi.org/10.3390/ijerph15010084,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
48,2018,"Johnson, B.S. et al.",Exposure to neighborhood green space and sleep: evidence from the Survey of the Health of Wisconsin,Sleep Health,Exposure to neighborhood green space and sleep: evidence from the Survey of the Health of Wisconsin,Benjamin S Johnson,Kristen M Malecki; Paul E Peppard; Kirsten M M Beyer,Benjamin S Johnson; Kristen M Malecki; Paul E Peppard; Kirsten M M Beyer,4,complete,Journal article,2018,Sleep Health,4(5):413-419,10.1016/j.sleh.2018.08.001,30241655,PMC6152838,https://doi.org/10.1016/j.sleh.2018.08.001,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
49,2018,"Eggers, S. tt al.","Wisconsin microbiome study, a cross-sectional investigation of dietary fibre, microbiome composition and antibiotic-resistant organisms: rationale and methods",BMJ Open,"Wisconsin microbiome study, a cross-sectional investigation of dietary fibre, microbiome composition and antibiotic-resistant organisms: rationale and methods",Shoshannah Eggers,Kristen M C Malecki; Paul Peppard; Julie Mares; Daniel Shirley; Sanjay K Shukla; Keith Poulsen; Ronald Gangnon; Megan Duster; Ashley Kates; Garret Suen; Ajay K Sethi; Nasia Safdar,Shoshannah Eggers; Kristen M C Malecki; Paul Peppard; Julie Mares; Daniel Shirley; Sanjay K Shukla; Keith Poulsen; Ronald Gangnon; Megan Duster; Ashley Kates; Garret Suen; Ajay K Sethi; Nasia Safdar,13,complete,Journal article,2018,BMJ Open,8(3):e019450,10.1136/bmjopen-2017-019450,29588324,,https://doi.org/10.1136/bmjopen-2017-019450,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
50,2018,"Bhutani, S. et al.",Frequency of Eating Out at Both Fast-Food and Sit-Down Restaurants Was Associated With High Body Mass Index in Non-Large Metropolitan Communities in Midwest,American Journal of Health Promotion,Frequency of Eating Out at Both Fast-Food and Sit-Down Restaurants Was Associated With High Body Mass Index in Non-Large Metropolitan Communities in Midwest,Surabhi Bhutani,Dale A Schoeller; Matthew C Walsh; Christine McWilliams,Surabhi Bhutani; Dale A Schoeller; Matthew C Walsh; Christine McWilliams,4,complete,Journal article,2018,American Journal of Health Promotion,32(1):75-83,10.1177/0890117116660772,27574335,,https://doi.org/10.1177/0890117116660772,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
51,2018,"Martinez, Y. et al.","Unfairly Treated? Housing Discrimination, Residential Disadvantages and Poor Mental Health in Wisconsin, 2009 to 2011",,"Unfairly Treated? Housing Discrimination, Residential Disadvantages and Poor Mental Health in Wisconsin, 2009 to 2011",Yaidi Cancel Martinez,,Yaidi Cancel Martinez,1,partial,Submitted manuscript,2018,Cityscape (submitted),,,,,https://asset.library.wisc.edu/1711.dl/FMLUK6H3SDPA68P/R/file-70c51.pdf,,partial,The source record identifies this as a submitted manuscript. A complete coauthor list could not be recovered from the linked/source records; the author shown is the named lead author.,2026-06-24,https://reach.med.wisc.edu/research/#publications
52,2019,"Jennings, L. et al.","Inequalities in lesbian, gay, bisexual, and transgender (LGBT) health and health care access and utilization in Wisconsin",Preventive Medicine Reports,"Inequalities in lesbian, gay, bisexual, and transgender (LGBT) health and health care access and utilization in Wisconsin",Linn Jennings,Chris Barcelos; Christine McWilliams; Kristen Malecki,Linn Jennings; Chris Barcelos; Christine McWilliams; Kristen Malecki,4,complete,Journal article,2019,Preventive Medicine Reports,14:100864,10.1016/j.pmedr.2019.100864,31011518,PMC6465572,https://doi.org/10.1016/j.pmedr.2019.100864,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
53,2019,"Grabow, M. et al.",What moves us: Subjective and objective predictors of active transportation,Journal of Transport & Health,What moves us: Subjective and objective predictors of active transportation,Maggie L Grabow,Milena Bernardinello; Andrew J Bersch; Corinne D Engelman; Ana P Martinez-Donate; Jonathan A Patz; Paul E Peppard; Kristen M C Malecki,Maggie L Grabow; Milena Bernardinello; Andrew J Bersch; Corinne D Engelman; Ana P Martinez-Donate; Jonathan A Patz; Paul E Peppard; Kristen M C Malecki,8,complete,Journal article,2019,Journal of Transport & Health,15:100625,10.1016/j.jth.2019.100625,,,https://doi.org/10.1016/j.jth.2019.100625,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
54,2019,"Bergmans, R.S. et al.",Cross-sectional associations of food insecurity with smoking cigarettes and heavy alcohol use in a population-based sample of adults,Drug and Alcohol Dependence,Cross-sectional associations of food insecurity with smoking cigarettes and heavy alcohol use in a population-based sample of adults,Rachel S Bergmans,Lindsay Coughlin; Tamara Wilson; Kristen Malecki,Rachel S Bergmans; Lindsay Coughlin; Tamara Wilson; Kristen Malecki,4,complete,Journal article,2019,Drug and Alcohol Dependence,205:107646,10.1016/j.drugalcdep.2019.107646,31677489,PMC6918825,https://doi.org/10.1016/j.drugalcdep.2019.107646,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
55,2019,"Bautista, L.E. et al.","The relationship between chronic stress, hair cortisol and hypertension",International Journal of Cardiology Hypertension,"The relationship between chronic stress, hair cortisol and hypertension",Leonelo E Bautista,Prabhleen K Bajwa; Matthew M Shafer; Kristen M C Malecki; Christine A McWilliams; Alberto Palloni,Leonelo E Bautista; Prabhleen K Bajwa; Matthew M Shafer; Kristen M C Malecki; Christine A McWilliams; Alberto Palloni,6,complete,Journal article,2019,International Journal of Cardiology Hypertension,2:100012,10.1016/j.ijchy.2019.100012,33447745,PMC7803047,https://doi.org/10.1016/j.ijchy.2019.100012,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
56,2019,"Eggers, S. Et al.",Urinary lead concentration and composition of the adult gut microbiota in a cross-sectional population-based sample,Environment International,Urinary lead concentration and composition of the adult gut microbiota in a cross-sectional population-based sample,Shoshannah Eggers,Nasia Safdar; Ajay K Sethi; Garret Suen; Paul E Peppard; Ashley E Kates; Joseph H Skarlupka; Marty Kanarek; Kristen M C Malecki,Shoshannah Eggers; Nasia Safdar; Ajay K Sethi; Garret Suen; Paul E Peppard; Ashley E Kates; Joseph H Skarlupka; Marty Kanarek; Kristen M C Malecki,9,complete,Journal article,2019,Environment International,133(Pt A):105122,10.1016/j.envint.2019.105122,31518933,,https://doi.org/10.1016/j.envint.2019.105122,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
57,2019,"Denu, R.A. et al.","Survey of Radon Testing and Mitigation by Wisconsin Residents, Landlords, and School Districts",WMJ,"Survey of Radon Testing and Mitigation by Wisconsin Residents, Landlords, and School Districts",Ryan A Denu,Jessica Maloney; Carrie D Tomasallo; Noah M Jacobs; John K Krebsbach; Amber L Schmaling; Enio Perez; Andrew J Bersch; Tamara J LeCaire; Jonathan G Meiman; Kristen M Malecki; Noelle K LoConte,Ryan A Denu; Jessica Maloney; Carrie D Tomasallo; Noah M Jacobs; John K Krebsbach; Amber L Schmaling; Enio Perez; Andrew J Bersch; Tamara J LeCaire; Jonathan G Meiman; Kristen M Malecki; Noelle K LoConte,12,complete,Journal article,2019,WMJ,118(4):169-176,,31978285,,https://pubmed.ncbi.nlm.nih.gov/31978285/,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
58,2019,"Schultz, A. A. et al.",Residential proximity to concentrated animal feeding operations and allergic and respiratory disease,Environment International,Residential proximity to concentrated animal feeding operations and allergic and respiratory disease,Amy A Schultz,Paul E Peppard; Ronald E Gangnon; Kristen M C Malecki,Amy A Schultz; Paul E Peppard; Ronald E Gangnon; Kristen M C Malecki,4,complete,Journal article,2019,Environment International,130:104911,10.1016/j.envint.2019.104911,31238264,,https://doi.org/10.1016/j.envint.2019.104911,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
59,2019,"Gudnadottir, U. et al.",The relationship between occupational physical activity and self-reported vs measured total physical activity,Preventive Medicine Reports,The relationship between occupational physical activity and self-reported vs measured total physical activity,Unnur Gudnadottir,Lisa Cadmus-Bertram; Alexandra Spicer; Jessica Gorzelitz; Kristen Malecki,Unnur Gudnadottir; Lisa Cadmus-Bertram; Alexandra Spicer; Jessica Gorzelitz; Kristen Malecki,5,complete,Journal article,2019,Preventive Medicine Reports,15:100908,10.1016/j.pmedr.2019.100908,31297308,,https://doi.org/10.1016/j.pmedr.2019.100908,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
60,2019,"Cadmus-Bertram, L.A. et al.","Understanding the physical activity needs and interests of inactive and active rural women: a cross-sectional study of barriers, opportunities, and intervention preferences",Journal of Behavioral Medicine,"Understanding the physical activity needs and interests of inactive and active rural women: a cross-sectional study of barriers, opportunities, and intervention preferences",Lisa A Cadmus-Bertram,Jessica S Gorzelitz; Diana C Dorn; Kristen M C Malecki,Lisa A Cadmus-Bertram; Jessica S Gorzelitz; Diana C Dorn; Kristen M C Malecki,4,complete,Journal article,2020,Journal of Behavioral Medicine,43(4):638-647,10.1007/s10865-019-00070-z,31197537,,https://doi.org/10.1007/s10865-019-00070-z,,verified,Published online in 2019; issue year is 2020.,2026-06-24,https://reach.med.wisc.edu/research/#publications
61,2019,"Tsai, W.L. et al.","Street-level neighborhood greenery linked to active transportation: A case study in Milwaukee and Green Bay, WI, USA",Landscape and Urban Planning,"Street-level neighborhood greenery linked to active transportation: A case study in Milwaukee and Green Bay, WI, USA",Wei-Lun Tsai,Leah Yngve; Yuhong Zhou; Kirsten M M Beyer; Andrew Bersch; Kristen M Malecki; Laura E Jackson,Wei-Lun Tsai; Leah Yngve; Yuhong Zhou; Kirsten M M Beyer; Andrew Bersch; Kristen M Malecki; Laura E Jackson,7,complete,Journal article,2019,Landscape and Urban Planning,191:103619,10.1016/j.landurbplan.2019.103619,,,https://doi.org/10.1016/j.landurbplan.2019.103619,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
62,2020,"Holzhausen, E. A. et al.",A Comparison of Self- and Proxy-Reported Subjective Sleep Durations With Objective Actigraphy Measurements in a Survey of Wisconsin Children 6-17 Years of Age,American Journal of Epidemiology,A Comparison of Self- and Proxy-Reported Subjective Sleep Durations With Objective Actigraphy Measurements in a Survey of Wisconsin Children 6-17 Years of Age,Elizabeth A Holzhausen,Erika W Hagen; Tamara J LeCaire; Lisa Cadmus-Bertram; Kristen M C Malecki; Paul E Peppard,Elizabeth A Holzhausen; Erika W Hagen; Tamara J LeCaire; Lisa Cadmus-Bertram; Kristen M C Malecki; Paul E Peppard,6,complete,Journal article,2021,American Journal of Epidemiology,190(5):755-765,10.1093/aje/kwaa254,33226072,,https://doi.org/10.1093/aje/kwaa254,,verified,Published online in 2020; issue year is 2021.,2026-06-24,https://reach.med.wisc.edu/research/#publications
63,2020,"Kates, A.E. et al.",Household Pet Ownership and the Microbial Diversity of the Human Gut Microbiota,Frontiers in Cellular and Infection Microbiology,Household Pet Ownership and the Microbial Diversity of the Human Gut Microbiota,Ashley E Kates,Omar Jarrett; Joseph H Skarlupka; Ajay Sethi; Megan Duster; Lauren Watson; Garret Suen; Keith Poulsen; Nasia Safdar,Ashley E Kates; Omar Jarrett; Joseph H Skarlupka; Ajay Sethi; Megan Duster; Lauren Watson; Garret Suen; Keith Poulsen; Nasia Safdar,9,complete,Journal article,2020,Frontiers in Cellular and Infection Microbiology,10:73,10.3389/fcimb.2020.00073,32185142,PMC7058978,https://doi.org/10.3389/fcimb.2020.00073,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
64,2020,"Brown, H. W. et al.",Reasons Behind Preferences for Community-Based Continence Promotion,Female Pelvic Medicine & Reconstructive Surgery,Reasons Behind Preferences for Community-Based Continence Promotion,Heidi W Brown,Meg E Wise; Tamara J LeCaire; Emilie J Braun; Amy M Drewry; Emily M Buttigieg; Megan Macco; Jodi H Barnet; Andrew Bersch; Paul E Peppard; Kristen M C Malecki; F Javier Nieto; Jane E Mahoney,Heidi W Brown; Meg E Wise; Tamara J LeCaire; Emilie J Braun; Amy M Drewry; Emily M Buttigieg; Megan Macco; Jodi H Barnet; Andrew Bersch; Paul E Peppard; Kristen M C Malecki; F Javier Nieto; Jane E Mahoney,13,complete,Journal article,2020,Female Pelvic Medicine & Reconstructive Surgery,26(7):425-430,10.1097/SPV.0000000000000806,32217918,PMC7329600,https://doi.org/10.1097/SPV.0000000000000806,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
65,2020,"Schultz, A. A. et al.",Investigating Cumulative Exposures among 3- to 4-Year-Old Children Using Wearable Ultrafine Particle Sensors and Language Environment Devices: A Pilot and Feasibility Study,International Journal of Environmental Research and Public Health,Investigating Cumulative Exposures among 3- to 4-Year-Old Children Using Wearable Ultrafine Particle Sensors and Language Environment Devices: A Pilot and Feasibility Study,Amy A Schultz,Kristen M C Malecki; Maddie M Olson; Saliha B Selman; Oona-Ife Olaiya; Alexandra Spicer; James J Schauer; Ross Edwards; Heather L Kirkorian; Janean Dilworth-Bart,Amy A Schultz; Kristen M C Malecki; Maddie M Olson; Saliha B Selman; Oona-Ife Olaiya; Alexandra Spicer; James J Schauer; Ross Edwards; Heather L Kirkorian; Janean Dilworth-Bart,10,complete,Journal article,2020,International Journal of Environmental Research and Public Health,17(14):5259,10.3390/ijerph17145259,32708240,PMC7400160,https://doi.org/10.3390/ijerph17145259,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
66,2020,"Gorzelitz, J.S. et al.",Awareness of Physical Activity Guidelines Among Rural Women,American Journal of Preventive Medicine,Awareness of Physical Activity Guidelines Among Rural Women,Jessica S Gorzelitz,Kristen M Malecki; Lisa A Cadmus-Bertram,Jessica S Gorzelitz; Kristen M Malecki; Lisa A Cadmus-Bertram,3,complete,Journal article,2020,American Journal of Preventive Medicine,59(1):143-145,10.1016/j.amepre.2020.01.022,32564803,PMC7338004,https://doi.org/10.1016/j.amepre.2020.01.022,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
67,2020,WOCMH,Supporting Child well-being through Healthy Use of Screen Time,,Supporting Child well-being through Healthy Use of Screen Time,Wisconsin Office of Children's Mental Health,,Wisconsin Office of Children's Mental Health,1,complete — corporate author,Government fact sheet,2020,Wisconsin Office of Children's Mental Health,,,,,https://children.wi.gov/Documents/OCMH%202019%20Fact%20Sheet%20Healthy%20Use%20of%20Screen%20Time.pdf,,verified,Corporate author; not a journal article.,2026-06-24,https://reach.med.wisc.edu/research/#publications
68,2020,"Schmidt, C.W. et al.",Bicycling Rates and the Prevalence of Bicycle Helmet Usage in Wisconsin,WMJ,Bicycling Rates and the Prevalence of Bicycle Helmet Usage in Wisconsin,Christian W Schmidt,Traci R Snedden; Kristen Malecki; Ronald E Gangnon; Shoshannah I Eggers; Marty S Kanarek,Christian W Schmidt; Traci R Snedden; Kristen Malecki; Ronald E Gangnon; Shoshannah I Eggers; Marty S Kanarek,6,complete,Journal article,2020,WMJ,119(2):91-95,,32659060,,https://pubmed.ncbi.nlm.nih.gov/32659060/,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
69,2020,"Thakur, T. et al.",Prescribed Opioid Use in Wisconsin 2008-2016: Findings From the Survey of the Health of Wisconsin,WMJ,Prescribed Opioid Use in Wisconsin 2008-2016: Findings From the Survey of the Health of Wisconsin,Tanvee Thakur,Jodi H Barnet; Tamara J LeCaire; Andrew Bersch; Paul E Peppard; Kristen Malecki; D Paul Moberg,Tanvee Thakur; Jodi H Barnet; Tamara J LeCaire; Andrew Bersch; Paul E Peppard; Kristen Malecki; D Paul Moberg,7,complete,Journal article,2020,WMJ,119(2):102-109,,,,https://pubmed.ncbi.nlm.nih.gov/32659062/,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
70,2021,"Halling, M. et al.",Exposure to socioenvironmental stress as a predictor of physical and mental health,Sage Journals,Exposure to socioenvironmental stress as a predictor of physical and mental health,Meredith Halling,Sydney Timmer-Murillo; Joshua C Hunt; Timothy Geier; Kirsten M M Beyer; Kristen M Malecki; Terri A deRoon-Cassini,Meredith Halling; Sydney Timmer-Murillo; Joshua C Hunt; Timothy Geier; Kirsten M M Beyer; Kristen M Malecki; Terri A deRoon-Cassini,7,complete,Journal article,2022,Journal of Health Psychology,27(9):2091-2103,10.1177/13591053211024712,34112016,,https://doi.org/10.1177/13591053211024712,,verified,Published online in 2021; issue year is 2022.,2026-06-24,https://reach.med.wisc.edu/research/#publications
71,2021,"Dykema, J et al.","Effects of Sequential Prepaid Incentives on Response Rates, Data Quality, Sample Representativeness, and Costs in a Mail Survey of Physicians",Evaluation & the Health Professions,"Effects of Sequential Prepaid Incentives on Response Rates, Data Quality, Sample Representativeness, and Costs in a Mail Survey of Physicians",Jennifer Dykema,John Stevenson; Nadia Assad; Chad Kniss; Catherine A Taylor,Jennifer Dykema; John Stevenson; Nadia Assad; Chad Kniss; Catherine A Taylor,5,complete,Journal article,2021,Evaluation & the Health Professions,44(3):235-244,10.1177/0163278720958186,,,https://doi.org/10.1177/0163278720958186,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
72,2021,"Yu, D. et al.",The adverse metabolic effects of branched-chain amino acids are mediated by isoleucine and valine,Cell Metabolism,The adverse metabolic effects of branched-chain amino acids are mediated by isoleucine and valine,Deyang Yu,Nicole E Richardson; Cara L Green; Alexandra B Spicer; Michaela E Murphy; Victoria Flores; Cholsoon Jang; Ildiko Kasza; Maria Nikodemova; Matthew H Wakai; Jay L Tomasiewicz; Shany E Yang; Blake R Miller; Heidi H Pak; Jacqueline A Brinkman; Jennifer M Rojas; William J Quinn; Eunhae P Cheng; Elizabeth N Konon; Lexington R Haider; Megan Finke; Michelle Sonsalla; Caroline M Alexander; Joshua D Rabinowitz; Joseph A Baur; Kristen C Malecki; Dudley W Lamming,Deyang Yu; Nicole E Richardson; Cara L Green; Alexandra B Spicer; Michaela E Murphy; Victoria Flores; Cholsoon Jang; Ildiko Kasza; Maria Nikodemova; Matthew H Wakai; Jay L Tomasiewicz; Shany E Yang; Blake R Miller; Heidi H Pak; Jacqueline A Brinkman; Jennifer M Rojas; William J Quinn; Eunhae P Cheng; Elizabeth N Konon; Lexington R Haider; Megan Finke; Michelle Sonsalla; Caroline M Alexander; Joshua D Rabinowitz; Joseph A Baur; Kristen C Malecki; Dudley W Lamming,27,complete,Journal article,2021,Cell Metabolism,33(5):905-922.e6,10.1016/j.cmet.2021.03.025,33887198,,https://doi.org/10.1016/j.cmet.2021.03.025,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
73,2021,"Hii, M. et al.","Respiratory diseases, racial disparities, and residential proximity to coal power plants in Wisconsin, USA: a cross-sectional study",The Lancet Global Health,"Respiratory diseases, racial disparities, and residential proximity to coal power plants in Wisconsin, USA: a cross-sectional study",Michael Hii,Kirsten M M Beyer; Sima Namin; Kristen Malecki; Amy Schultz; Caitlin Rublee,Michael Hii; Kirsten M M Beyer; Sima Namin; Kristen Malecki; Amy Schultz; Caitlin Rublee,6,complete,Conference abstract,2021,The Lancet Global Health,9(Suppl 1):S19,10.1016/S2214-109X(21)00127-3,,,https://doi.org/10.1016/S2214-109X(21)00127-3,,verified,Supplement conference abstract.,2026-06-24,https://reach.med.wisc.edu/research/#publications
74,2021,"Ersig, A. L. et al.","Association Between Food Allergy, Psychological Stress, and Allostatic Load",Western Journal of Nursing Research,"Association Between Food Allergy, Psychological Stress, and Allostatic Load",Anne L Ersig,Roger L Brown; Kristen Malecki,Anne L Ersig; Roger L Brown; Kristen Malecki,3,complete,Journal article,2022,Western Journal of Nursing Research,44(10):946-954,10.1177/01939459211019042,,,https://doi.org/10.1177/01939459211019042,,verified,Published online in 2021; issue year is 2022.,2026-06-24,https://reach.med.wisc.edu/research/#publications
75,2021,"Peterson, K. J. et al.",A Cautionary Note Regarding Obesity and Young Adult Rectal Cancer,Journal of Gastrointestinal Surgery,A Cautionary Note Regarding Obesity and Young Adult Rectal Cancer,Kent J Peterson,Jacqueline J Blank; Rasika R Deshpande; Ying Liu; Carrie Y Peterson; Kirk A Ludwig; Timothy J Ridolfi,Kent J Peterson; Jacqueline J Blank; Rasika R Deshpande; Ying Liu; Carrie Y Peterson; Kirk A Ludwig; Timothy J Ridolfi,7,complete,Letter,2022,Journal of Gastrointestinal Surgery,26(4):927-928,,34647224,,https://pubmed.ncbi.nlm.nih.gov/34647224/,,verified,Published online in 2021; issue year is 2022.,2026-06-24,https://reach.med.wisc.edu/research/#publications
76,2021,Stroope J. et al.,Active transportation and social capital: The association between walking or biking for transportation and community participation,Preventive Medicine,Active transportation and social capital: The association between walking or biking for transportation and community participation,Jessica Stroope,,Jessica Stroope,1,complete,Journal article,2021,Preventive Medicine,150:106666,10.1016/j.ypmed.2021.106666,34087322,,https://doi.org/10.1016/j.ypmed.2021.106666,,verified,Single-author article.,2026-06-24,https://reach.med.wisc.edu/research/#publications
77,2021,"Ersig, A. L. et al.","Clinical Measures of Allostatic Load in Children and Adolescents with Food Allergy, Depression, or Anxiety",Journal of Pediatric Nursing,"Clinical Measures of Allostatic Load in Children and Adolescents with Food Allergy, Depression, or Anxiety",Anne L Ersig,Roger L Brown; Kristen M C Malecki,Anne L Ersig; Roger L Brown; Kristen M C Malecki,3,complete,Journal article,2021,Journal of Pediatric Nursing,61:346-354,10.1016/j.pedn.2021.08.025,34555747,PMC8665031,https://doi.org/10.1016/j.pedn.2021.08.025,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
78,2021,"Holzhausen, E. A. et al.","Assessing the impact of storage time on the stability of stool microbiota richness, diversity, and composition",Gut Pathogens,"Assessing the impact of storage time on the stability of stool microbiota richness, diversity, and composition",Elizabeth A Holzhausen,Maria Nikodemova; Courtney L Deblois; Jodi H Barnet; Paul E Peppard; Garret Suen; Kristen M Malecki,Elizabeth A Holzhausen; Maria Nikodemova; Courtney L Deblois; Jodi H Barnet; Paul E Peppard; Garret Suen; Kristen M Malecki,7,complete,Short report,2021,Gut Pathogens,13:75,10.1186/s13099-021-00470-0,34930464,,https://doi.org/10.1186/s13099-021-00470-0,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
79,2021,"Malecki, K. M. et al.",Population Changes in Seroprevalence among a Statewide Sample in the United States,medRxiv,Population Changes in Seroprevalence among a Statewide Sample in the United States,Kristen Malecki,Maria Nikodemova; Amy A Schultz; Andrew Bersch; Matthew C Walsh; Ajay K Sethi; Paul Peppard; Corinne Engelman; Lisa Cadmus-Bertram; Nasia Safdar; Allen Bateman; Ryan Westergaard,Kristen Malecki; Maria Nikodemova; Amy A Schultz; Andrew Bersch; Matthew C Walsh; Ajay K Sethi; Paul Peppard; Corinne Engelman; Lisa Cadmus-Bertram; Nasia Safdar; Allen Bateman; Ryan Westergaard,12,complete,Preprint,2020,medRxiv,2020.12.18.20248479,10.1101/2020.12.18.20248479,,,https://doi.org/10.1101/2020.12.18.20248479,,verified,Posted December 2020; source table lists 2021.,2026-06-24,https://reach.med.wisc.edu/research/#publications
80,2021,"Merten, N. et al.",Mental Health and Well-Being Among Individuals With a Sensory Loss During COVID-19 Lockdown Measures,Innovation in Aging,Mental Health and Well-Being Among Individuals With a Sensory Loss During COVID-19 Lockdown Measures,Natascha Merten,Amy Schultz; Matthew C Walsh; Suzanne W van Landingham; Paul E Peppard; Carol D Ryff; Kristen Malecki,Natascha Merten; Amy Schultz; Matthew C Walsh; Suzanne W van Landingham; Paul E Peppard; Carol D Ryff; Kristen Malecki,7,complete,Conference abstract,2021,Innovation in Aging,5(Suppl 1):409,10.1093/geroni/igab046.1580,,,https://doi.org/10.1093/geroni/igab046.1580,,verified,Conference abstract.,2026-06-24,https://reach.med.wisc.edu/research/#publications
