paper_id,list_index,title,pub_year,pmid,doi,journal,publication_type,author_list_status,author_list,n_authors
show_doi_10_1186_s12889_015_1576_x,20,"The association between neighborhood economic hardship, the retail food environment, fast food intake, and obesity: findings from the Survey of the Health of Wisconsin",2015,NA,10.1186/s12889-015-1576-x,BMC Public Health,Journal article,complete,Laxy M|Malecki KC|Givens ML|Walsh MC|Nieto FJ,5
show_pmid_27332185,37,Health@Home Moves All About the House!,2016,27332185,10.3233/978-1-61499-658-3-173,Studies in Health Technology and Informatics,Conference proceedings article,complete,Casper GR|Brennan PF|Smith CA|Werner NE|He Y,5
show_pmid_27574335,50,Frequency of Eating Out at Both Fast-Food and Sit-Down Restaurants Was Associated With High Body Mass Index in Non-Large Metropolitan Communities in Midwest,2018,27574335,10.1177/0890117116660772,American Journal of Health Promotion,Journal article,complete,Bhutani S|Schoeller DA|Walsh MC|McWilliams C,4
show_pmid_31011518,52,"Inequalities in lesbian, gay, bisexual, and transgender (LGBT) health and health care access and utilization in Wisconsin",2019,31011518,10.1016/j.pmedr.2019.100864,Preventive Medicine Reports,Journal article,complete,Jennings L|Barcelos C|McWilliams C|Malecki K,4
show_pmid_31238264,58,Residential proximity to concentrated animal feeding operations and allergic and respiratory disease,2019,31238264,10.1016/j.envint.2019.104911,Environment International,Journal article,complete,Schultz AA|Peppard PE|Gangnon RE|Malecki KMC,4
show_idx_25,25,vizHOME--A context-based home assessment: Preliminary implications for informatics,2015,NA,NA,Studies in Health Technology and Informatics,Conference proceedings article,complete,Casper GR|Brennan PF|Perreault JO|Marvin AG,4
show_pmid_23106415,5,Oral Hygiene and Cardiometabolic Disease Risk in the Survey of the Health of Wisconsin,2013,23106415,10.1111/cdoe.12015,Community Dentistry and Oral Epidemiology,Journal article,complete,VanWormer JJ|Acharya A|Greenlee RT|Nieto FJ,4
show_pmid_38833849,112,"Linking sequences of exposure to residential (dis)advantage, individual socioeconomic status, and health.",2024,38833849,10.1016/j.healthplace.2024.103262,Health & Place,Journal article,complete,Kamis C|Xu W|Schultz A|Malecki K|Engelman M,5
show_pmid_30241655,48,Exposure to neighborhood green space and sleep: evidence from the Survey of the Health of Wisconsin,2018,30241655,10.1016/j.sleh.2018.08.001,Sleep Health,Journal article,complete,Johnson BS|Malecki KM|Peppard PE|Beyer KMM,4
show_pmid_35877032,97,Respiratory Function and Racial Health Disparities With Residential Proximity to Coal Power Plants in Wisconsin,2022,35877032,NA,WMJ,Journal article,complete,Hii M|Beyer KMM|Namin S|Malecki K|Rublee C,5
show_pmid_31677489,54,Cross-sectional associations of food insecurity with smoking cigarettes and heavy alcohol use in a population-based sample of adults,2019,31677489,10.1016/j.drugalcdep.2019.107646,Drug and Alcohol Dependence,Journal article,complete,Bergmans RS|Coughlin L|Wilson T|Malecki K,4
show_pmid_32564803,66,Awareness of Physical Activity Guidelines Among Rural Women,2020,32564803,10.1016/j.amepre.2020.01.022,American Journal of Preventive Medicine,Journal article,complete,Gorzelitz JS|Malecki KM|Cadmus-Bertram LA,3
show_idx_12,12,Urban-Rural and Regional Variability in the Prevalence of Food Insecurity: The Survey of the Health of Wisconsin,2014,NA,NA,WMJ,Journal article,complete,Guerrero N|Walsh MC|Malecki KC|Nieto FJ,4
show_pmid_37399294,109,Sense of community and mental health: a cross-sectional analysis from a household survey in Wisconsin,2023,37399294,10.1136/fmch-2022-001971,Family Medicine and Community Health,Journal article,complete,Park EY|Oliver TR|Peppard PE|Malecki KC,4
show_pmid_39841520,125,Urinary Incontinence and Care Seeking Among Wisconsin Women.,2025,39841520,10.1097/SPV.0000000000001599,Urogynecology,Journal article,complete,Warner KJ|Schultz AA|Barnet JH|Brown HW,4
show_pmid_40532381,127,Is neighborhood sense of community good for mental health in a pandemic? Paradoxical findings from longitudinal analyses of Wisconsin health survey,2025,40532381,10.1016/j.healthplace.2025.103494,Health & Place,Journal article,complete,Park EY|Barnet JH|Malecki KC|Oliver TR,4
show_pmid_25190819,10,The Art of Drawing Numbers and Stories in the Air: Epidemiology Information Emotion and Action,2014,25190819,10.1136/jech-2014-203883,Journal of Epidemiology and Community Health,Journal article,complete,Cofiño R|Prieto M|Suárez O|Malecki K,4
show_pmid_36280595,89,"Genetic Variation, Stress, and Physiological Stress Response in Adults With Food Allergy or Celiac Disease",2023,36280595,10.1177/10998004221134826,Biological Research for Nursing,Journal article,complete,Ersig AL|Young EE|Brown RL|Malecki K,4
show_doi_10_1016_j_jth_2022_101528,88,Active transportation and self-reported change in physical activity,2022,NA,10.1016/j.jth.2022.101528,Journal of Transport & Health,Journal article,complete,Stroope J|Garn AC|Cadmus-Bertram LA,3
show_pmid_29316641,47,Neighborhood Perceptions and Cumulative Impacts of Low Level Chronic Exposure to Fine Particular Matter (PM2.5) on Cardiopulmonary Health,2018,29316641,10.3390/ijerph15010084,International Journal of Environmental Research and Public Health,Journal article,complete,Malecki KMC|Schultz AA|Bergmans RS,3
show_doi_10_1093_geroni_igae098_1811,111,"Navigating the Pandemic: The Role of Resilience and Neighborhood Support in Stress, Anxiety, and Adaptation",2024,NA,10.1093/geroni/igae098.1811,Innovation in Aging,Conference abstract,complete,Balubaid A|Berghoff A|Litzelman K,3
show_pmid_28193558,43,Allergic disease associations with regional and localized estimates of air pollution,2017,28193558,10.1016/j.envres.2017.01.039,Environmental Research,Journal article,complete,Schultz AA|Schauer JJ|Malecki KM,3
show_pmid_34555747,77,"Clinical Measures of Allostatic Load in Children and Adolescents with Food Allergy, Depression, or Anxiety",2021,34555747,10.1016/j.pedn.2021.08.025,Journal of Pediatric Nursing,Journal article,complete,Ersig AL|Brown RL|Malecki KMC,3
show_pmid_22542201,3,Perfluoroalkyl chemicals in vacuum cleaner dust from Wisconsin homes,2012,22542201,10.1016/j.chemosphere.2012.03.082,Chemosphere,Journal article,complete,Knobeloch L|Imm P|Anderson H,3
show_doi_10_1177_01939459211019042,74,"Association Between Food Allergy, Psychological Stress, and Allostatic Load",2022,NA,10.1177/01939459211019042,Western Journal of Nursing Research,Journal article,complete,Ersig AL|Brown RL|Malecki K,3
show_pmid_42258648,131,Visual Impairment and Living in Poverty Are Associated in Wisconsin,2026,42258648,NA,WMJ,Journal article,complete,Aldred BN|Landingham SWv,2
show_pmid_37737937,110,Experienced Racism and Discrimination and Psychological Distress amid Different Phases of the COVID-19 Pandemic: Evidence from Wisconsin,2024,37737937,10.1007/s40615-023-01782-4,Journal of Racial and Ethnic Health Disparities,Journal article,complete,Ouayogodé MH|Salas SS,2
show_idx_67,67,Supporting Child well-being through Healthy Use of Screen Time,2020,NA,NA,Wisconsin Office of Children's Mental Health,Government fact sheet,complete — corporate author,Health WOoCM,1
show_idx_51,51,"Unfairly Treated? Housing Discrimination, Residential Disadvantages and Poor Mental Health in Wisconsin, 2009 to 2011",2018,NA,NA,Cityscape (submitted),Submitted manuscript,partial,Martinez YC,1
show_idx_16,16,Wisconsin partners create retail toolkits for healthier eating,2015,NA,NA,The Nation's Health,News item,complete,Wahowiak L,1
show_pmid_34087322,76,Active transportation and social capital: The association between walking or biking for transportation and community participation,2021,34087322,10.1016/j.ypmed.2021.106666,Preventive Medicine,Journal article,complete,Stroope J,1
show_idx_84,84,Social Capital and Food Insecurity in Two Counties in Wisconsin,2022,NA,NA,Walden Dissertations and Doctoral Studies,Doctoral dissertation,complete,Greer YD,1
show_idx_113,113,Wisconsin Sand Mining Operation Sites and Individuals Diagnosed With Asthma and COPD,2024,NA,NA,ProQuest Dissertations & Theses,Doctoral dissertation,partial,Cobb BL,1
