paper_id,pmid,title,authors,pub_year,published,journal,doi,external_url,source_page
abcd_41114439,41114439,Genetic influences for distinct impulsivity domains are differentially associated with early substance use initiation: Results from the ABCD Study.,Kinstler E; Gorelik AJ; Paul SE; Aggarwal A; Johnson EC; Cyders MA; Agrawal A; Bogdan R; Miller AP,2025,2025/10/20,Psychological medicine,10.1017/S0033291725101931,,4
abcd_41107246,41107246,Regularized CCA identifies sex-specific brain-behavior associations in adolescent psychopathology.,Milecki L; Gonzalez C; Adeli E; Nooner KB; Sabuncu MR; Kuceyeski A; Zhao Q,2025,2025/10/17,Translational psychiatry,10.1038/s41398-025-03678-9,,4
abcd_41110553,41110553,"Linking Oestradiol Timing and Tempo, Brain Development, and Mental Health Problems in Adolescent Females.",Khetan M; Vijayakumar N; Tian YE; Whittle S,2025,2025/10/17,Biological psychiatry. Cognitive neuroscience and neuroimaging,10.1016/j.bpsc.2025.10.006,,4
abcd_41100534,41100534,Pre-pandemic mental health and brain characteristics predict adolescent stress and emotions during the COVID-19 pandemic.,Risner M; Hu L; Stamoulis C,2025,2025/10/16,PloS one,10.1371/journal.pone.0334028,,4
abcd_41100666,41100666,Uncovering functional connectivity patterns predictive of cognition in youth using interpretable predictive modeling.,Li H; Cieslak M; Salo T; Shinohara RT; Oathes DJ; Davatzikos C; Satterthwaite TD; Fan Y,2025,2025/10/16,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.2505600122,,4
abcd_41109569,41109569,Connectome-Based Predictive Models Optimized for Sleep Differentiate Patients With Depression From Psychiatrically Healthy Controls.,Mummaneni A; Amir C; Allen NB; Ho TC,2025,2025/10/16,Biological psychiatry. Cognitive neuroscience and neuroimaging,10.1016/j.bpsc.2025.10.002,,4
abcd_41106490,41106490,Multisystem Environmental Factors Elucidate Shared and Distinct Associations With Brain and Behavior in Adolescents.,Ramduny J; Paskewitz S; Brazil IA; Baskin-Sommers A,2025,2025/10/15,Journal of the American Academy of Child and Adolescent Psychiatry,10.1016/j.jaac.2025.10.008,,4
abcd_41737757,41737757,Developmental Trajectories of Nonsuicidal Self-Injury and Risk for Suicide Attempt.,Thompson AJ; Sarkisian K; Llamocca EN; Henrich CC; Hughes JL; Youngstrom EA; Ruch DA; Bridge JA; Fontanella CA,2025,2025/10/15,JAACAP open,10.1016/j.jaacop.2025.10.004,,4
abcd_41091178,41091178,Evaluation of environmental-genetic factors and mental health outcomes for sleep disturbance from late childhood to early adolescence.,Yan J; Bai H; Sun Y; Wang M; Li Q; Pan Y; Liu X; Li Y; Yao Z; Chen Y; Zhang Z; Hu Z; He C; Liu B; Zhang X,2025,2025/10/15,European child & adolescent psychiatry,10.1007/s00787-025-02888-2,,4
abcd_41091482,41091482,Addictive Screen Use and Youth Mental Health-Reply.,Xiao Y; Keyes KM; Mann JJ,2025,2025/10/15,JAMA,10.1001/jama.2025.14443,,4
abcd_41085497,41085497,Sexual Minority Adolescents and the COVID-19 Pandemic: Examining School and Coping Factors to Promote Well-being.,Raney JH; Memon Z; Otmar CD; Ganson KT; Testa A; Baker FC; Brindis CD; Nagata JM,2025,2025/10/14,The Journal of adolescent health : official publication of the Society for Adolescent Medicine,10.1016/j.jadohealth.2025.09.009,,4
abcd_41082212,41082212,Social Media Use Trajectories and Cognitive Performance in Adolescents.,Nagata JM; Wong JH; Kim KE; Richardson RA; Nayak S; Potes C; Rauschecker AM; Scheffler A; Sugrue LP; Baker FC; Testa A,2025,2025/10/13,JAMA,10.1001/jama.2025.16613,,4
abcd_41077549,41077549,Machine learning prediction of conduct problems in children using the longitudinal ABCD study.,Berluti K; Amormino P; Potter A; Wshah S; Marsh A,2025,2025/10/12,"Journal of child psychology and psychiatry, and allied disciplines",10.1111/jcpp.70057,,4
abcd_41073391,41073391,"Demographic, genetic, neuroimaging, and behavioral correlates of short social responsiveness scale in a large pediatric cohort.",Huang L; Huang R; Sui G; Du W; Zhou L; Luo Q; Ren T; Li F,2025,2025/10/10,Translational psychiatry,10.1038/s41398-025-03648-1,,4
abcd_41109199,41109199,Meaningful Associations Redux: Quantifying and interpreting effect size in the context of the Adolescent Brain and Cognitive Development study.,Dick AS; Comer JS; Bayat M; Curtis M; Hayes T; Pruden SM; Hawes SW; Gonzalez R; Laird AR; Graziano PA,2025,2025/10/10,Developmental cognitive neuroscience,10.1016/j.dcn.2025.101630,,4
abcd_41079766,41079766,Riemannian diffusion kernel-smoothed continuous structural connectivity on cortical surface.,Wang L; Li D; Zhang Z,2025,2025/10/09,"Imaging neuroscience (Cambridge, Mass.)",10.1162/IMAG.a.912,,4
abcd_41062532,41062532,Modeling psychopathology in high-dimensional vector space using the high-dimensional symptom space (HDSS) model can operationalize precision psychiatry in US adolescents.,Wild MG; Cutler RA,2025,2025/10/08,Scientific reports,10.1038/s41598-025-18975-y,,4
abcd_41060835,41060835,"Gender Diversity, Substance Cognitions, and Alcohol, Nicotine/Tobacco, and Cannabis Use Among Youth.",Kcomt L; Veliz PT; Jardine J; Evans-Polce RJ; Clift J; McCabe SE; Arslanian-Engoren C,2025,2025/10/08,LGBT health,10.1177/23258292251385564,,4
abcd_41140958,41140958,Predicting the onset of internalizing disorders in early adolescence using deep learning optimized with AI.,de Lacy N; Ramshaw M; Lam WY,2025,2025/10/08,Frontiers in psychiatry,10.3389/fpsyt.2025.1487894,,4
abcd_41043108,41043108,Longitudinal Effects of Continuous Music Training on Cognitive Development: Evidence From the Adolescent Brain Cognitive Development (ABCD) Study.,Habibi A; Hsu E; Villanueva J; Luo S,2025,2025/10/03,Annals of the New York Academy of Sciences,10.1111/nyas.70086,,4
abcd_41061484,41061484,"Brain functional connectivity, but not neuroanatomy, captures the interrelationship between sex and gender in preadolescents.",Metoki A; Chauvin RJ; Gordon EM; Laumann TO; Kay BP; Adeyemo B; Krimmel SR; Marek S; Wang A; Van AN; Baden NJ; Suljic V; Scheidter KM; Monk J; Whiting FI; Ramirez-Perez NJ; Barch DM; Sotiras A; Dosenbach NUF,2025,2025/10/03,Developmental cognitive neuroscience,10.1016/j.dcn.2025.101624,,4
abcd_41061485,41061485,Racial/ethnic discrimination shapes adolescent brain connectivity: Social buffers and implications for executive function.,Duell N; Alvarez GM; Telzer EH; Muscatell KA,2025,2025/10/03,Developmental cognitive neuroscience,10.1016/j.dcn.2025.101625,,4
abcd_41035297,41035297,Neural correlates of social withdrawal and preference for solitude in adolescence.,Risner M; Stamouls C,2025,2025/10/02,"Cerebral cortex (New York, N.Y. : 1991)",10.1093/cercor/bhaf260,,4
abcd_41034507,41034507,"Hippocampal SGK1 promotes vulnerability to depression: the role of early life adversity, stress, and genetic risk.",Millette A; van Dijk MT; Pokhvisneva I; Li Y; Thompson R; Patel S; Bagot RC; Naray-Fejes-Toth A; Fejes-Toth G; Silveira PP; Turecki G; Lopez JP; Anacker C,2025,2025/10/01,Molecular psychiatry,10.1038/s41380-025-03269-6,,4
abcd_41043534,41043534,Task and resting state fMRI modelling of brain-behavior relationships in developmental cohorts.,Uddin LQ; Garavan H,2025,2025/10/01,Biological psychiatry,10.1016/j.biopsych.2025.09.012,,4
abcd_41111269,41111269,Family History of Substance Use and Stressful Life Events Impact Adolescent Maturation of Cerebral White Matter.,Ma Y; Acheson A; Bolbocean C; Mithaiwala MN; Gao S; Jahanshad N; Thompson PM; Adhikari BM; Du X; Ankeeta A; Warner A; Pagán AF; Hong LE; Kochunov P,2025,2025/10/01,Addiction biology,10.1111/adb.70089,,4
abcd_41030000,41030000,What's Behind the Increased Risk of Suicidal Behavior in Black Girls?,Melhem NM,2025,2025/10/01,The American journal of psychiatry,10.1176/appi.ajp.20250790,,4
abcd_41034626,41034626,Beyond discrete classifications: a computational approach to the continuum of cognition and behavior in children.,Gagnon A; Gillet V; Desautels AS; Lepage JF; Baccarelli AA; Posner J; Descoteaux M; Brunet MA; Takser L,2025,2025/10/01,Npj mental health research,10.1038/s44184-025-00163-5,,4
abcd_macroeconomic_income_inequality_brain_structure_and_function_and_mental_health,,"Macroeconomic income inequality, brain structure and function, and mental health",Rakesh D; Tsomokos DI; Vargas T; Pickett KE; & Patel V,2025,2025/09/30,Nature Mental Health,,https://www.nature.com/articles/s44220-025-00508-1,4
abcd_41025967,41025967,"Eviction, inability to pay rent, and youth mental health: a fixed effects study.",Schwartz GL; Harriman NW; Ramphal B; Slopen N,2025,2025/09/30,American journal of epidemiology,10.1093/aje/kwaf212,,4
abcd_41022827,41022827,Motion impact score for detecting spurious brain-behavior associations.,Kay BP; Montez DF; Marek S; Tervo-Clemmens B; Siegel JS; Adeyemo B; Laumann TO; Metoki A; Chauvin RJ; Van AN; Suljic V; Krimmel SR; Miller RL; Newbold DJ; Zheng A; Seider NA; Scheidter KM; Monk JS; Feczko E; Randolph A; Miranda-Domínguez Ó; Moore LA; Perrone AJ; Conan GM; Earl EA; Malone SM; Cordova M; Doyle O; Lynch BJ; Wilgenbusch JC; Pengo T; Graham AM; Roland JL; Gordon EM; Snyder AZ; Barch DM; Fair DA; Dosenbach NUF,2025,2025/09/29,Nature communications,10.1038/s41467-025-63661-2,,4
abcd_41024260,41024260,Weight discrimination and eating disorder symptoms in early adolescence: a prospective cohort study.,Nagata JM; Thompson A; Helmer CK; Ganson KT; Testa A; Barnhart WR; He J; Baker FC; Lavender JM,2025,2025/09/29,Journal of eating disorders,10.1186/s40337-025-01404-w,,4
abcd_41006202,41006202,"Polygenic architecture of brain structure and function, behaviors, and psychopathologies in children.",Joo YY; Kim BG; Kim G; Lee E; Seo J; Cha J,2025,2025/09/26,Nature communications,10.1038/s41467-025-63312-6,,4
abcd_41072158,41072158,"Social-spatial residence patterns and adolescent mental health: Investigating the influences of residential segregation, neighborhood social cohesion, and race on persistent, distressing psychotic-like experiences in the United States.",Wade KL; Kramer M; Ku B,2025,2025/09/26,Social science & medicine (1982),10.1016/j.socscimed.2025.118623,,4
abcd_41104068,41104068,Adverse Childhood Experiences and Adolescent Early Non-Coital Sexual and Relationship Behaviors: A Latent Class Analysis.,Wang X; Clear KL; Vasilenko SA,2025,2025/09/26,The Journal of early adolescence,10.1177/02724316251384269,,4
abcd_40998931,40998931,Adolescent suicide behaviors associate with accelerated reductions in cortical gray matter volume and slower decay of behavioral activation Fun-Seeking scores.,Zhou Y; Neale MC,2025,2025/09/25,Scientific reports,10.1038/s41598-025-16856-y,,4
abcd_differences_in_patterns_of_attention_deficit_hyperactivity_disorder_medication_u,,Differences in patterns of attention deficit/hyperactivity disorder medication use in US children,Ryan JE; Weigard A; McCabe SE; Wilens TE; & Veliz PT,2025,2025/09/25,JCPP Advances,,https://acamh.onlinelibrary.wiley.com/doi/full/10.1002/jcv2.70040,4
abcd_41045777,41045777,Academic success and mental health: The paradox of Frontoparietal-Default Mode Network coupling among children facing poverty.,Pacheco S; Bunge SA; Ellwood-Lowe ME,2025,2025/09/25,Developmental cognitive neuroscience,10.1016/j.dcn.2025.101618,,4
abcd_41021925,41021925,A Comparison of Brain MRI Outcomes in Youth American Football versus Non-Contact Sport Athletes.,Ichesco E; Li Y; Shih CH; Ichesco I; Almeida A; Varangis E; Schrepf A; Kaplan C; Popovich M; Peltier SJ; Harris RE; Lorincz MT; He X; Eckner J,2025,2025/09/25,Medicine and science in sports and exercise,10.1249/MSS.0000000000003856,,4
abcd_40993126,40993126,Musical rhythm abilities and risk for developmental speech-language problems and disorders: epidemiological and polygenic associations.,Nayak S; Ladányi E; Eising E; Mekki Y; Nitin R; Bush CT; Gustavson DE; Anglada-Tort M; Lancaster HS; Mosing MA; Ullén F; Magne CL; Fisher SE; Jacoby N; Gordon RL,2025,2025/09/24,Nature communications,10.1038/s41467-025-60867-2,,4
abcd_41005265,41005265,Understanding the development of neural abnormalities in adolescents with mental health problems: A longitudinal study.,Hou J; van de Mortel L; Liu W; Liu S; Popma A; Smit DJA; van Wingen G,2025,2025/09/23,NeuroImage. Clinical,10.1016/j.nicl.2025.103885,,4
abcd_hormonal_contraceptive_intake_during_adolescence_and_cortical_brain_measures_in_,,Hormonal contraceptive intake during adolescence and cortical brain measures in the ABCD Study,Heller C; Dhamala E; Bottenhorn KL; Herting MM; Bossé B; De La Rosa JS; Farland LV; Allen AM; Barth C; & Petersen N,2025,2025/09/22,npj Women's Health,,https://www.nature.com/articles/s44294-025-00105-8,4
abcd_40991681,40991681,Shared and Unique Connectivity Signatures of Reading and Language Deficits.,Daucourt MC; Rosenblatt M; Frijters JC; Bosson-Heenan JM; Gruen JR; Scheinost D,2025,2025/09/22,Journal of cognitive neuroscience,10.1162/JOCN.a.98,,4
abcd_40975821,40975821,"Genetic and Environmental Associations Among Pain, Sleep Disturbances, and Substance Use Intent in Early Adolescence.",Elam KK; Trevino A; Kutzner J; Su J; Quinn PD,2025,2025/09/21,Journal of adolescence,10.1002/jad.70054,,4
abcd_40970449,40970449,"Screen time, problematic media use, and clinical concerns in the ABCD Study: Differences by sex and race/ethnicity.",Eales L; Wiglesworth A; Cullen KR; Klimes-Dougan B,2025,2025/09/19,Development and psychopathology,10.1017/S0954579425100655,,4
abcd_41142950,41142950,Dynamic fluctuations of intrinsic brain activity are associated with consistent topological patterns in puberty and are biomarkers of neural maturation.,Lim J; Cooper K; Stamoulis C,2025,2025/09/19,"Network neuroscience (Cambridge, Mass.)",10.1162/netn_a_00452,,4
abcd_40970865,40970865,"Immigrant Status, Socioeconomic Status, and Sleep Disparities in Early Adolescence: Findings From the National Adolescent Brain Cognitive Development Study.",Zhang MR; Wang Y; Zhao Z; Yan J; Zhang Y; Cham H; Alegría M; Yip T,2025,2025/09/18,The Journal of adolescent health : official publication of the Society for Adolescent Medicine,10.1016/j.jadohealth.2025.08.010,,4
abcd_social_threat_neural_connectivity_and_adolescent_mental_health_a_population_base,,"Social threat, neural connectivity, and adolescent mental health: a population-based longitudinal study",Tsomokos DI; Tiemeier H; Slavich GM; & Rakesh D,2025,2025/09/18,Psychological Medicine,,https://www.cambridge.org/core/journals/psychological-medicine/article/social-threat-neural-connectivity-and-adolescent-mental-health-a-populationbased-longitudinal-study/E1F5D34831B541F7E0AE441B1ED8BB40,4
abcd_40973098,40973098,"Hillclimb-Causal Inference: a data-driven approach to identify causal pathways among parental behaviors, genetic risk, and externalizing behaviors in children.",Wei M; Peng Q,2025,2025/09/17,Journal of the American Medical Informatics Association : JAMIA,10.1093/jamia/ocaf153,,4
abcd_40956265,40956265,Connecting the Dots: The Role of Pediatric Concussion on Pubertal Hormones and Psychological Health.,Lima Santos JP; Shirtcliff EA; Kontos AP; Ladouceur CD; Versace A,2025,2025/09/16,The Journal of adolescent health : official publication of the Society for Adolescent Medicine,10.1016/j.jadohealth.2025.07.020,,4
abcd_40969404,40969404,Mapping Multimodal Risk Factors to Mental Health Outcomes.,Jirsaraie RJ; Barch DM; Bogdan R; Marek SA; Bijsterbosch JD; Sotiras A; Karcher NR,2025,2025/09/15,Nature. Mental health,10.1038/s44220-025-00500-9,,4
abcd_41268144,41268144,Differences in Resting-State Functional Connectivity of Temperament-Based Profiles Among Youths With Attention-Deficit/Hyperactivity Disorder in the Adolescent Brain Cognitive Development Study.,Sangoi JA; Kozlowski MB; Feeney KE; Karalunas SL; Riopelle C; Peraza JA; Smith JN; Lobo RP; Gonzalez R; Laird AR; Musser ED,2025,2025/09/15,Clinical psychological science : a journal of the Association for Psychological Science,10.1177/21677026251369850,,4
abcd_40946235,40946235,Age-Related Trends in Self-Identification of Sexual Orientation During Early Adolescence.,Nagata JM; Otmar CD; Lopez A; Kim AE; Sui SS; Li K; Shao IY,2025,2025/09/14,The Journal of adolescent health : official publication of the Society for Adolescent Medicine,10.1016/j.jadohealth.2025.07.001,,4
abcd_40959708,40959708,Brain functional connectivity predicts depression and anxiety during childhood and adolescence: A connectome-based predictive modeling approach.,Morfini F; Kucyi A; Zhang J; Bauer CCC; Bloom PA; Pagliaccio D; Hubbard NA; Rosso IM; Yendiki A; Ghosh SS; Pizzagalli DA; Gabrieli JDE; Whitfield-Gabrieli S; Auerbach RP,2025,2025/09/12,"Imaging neuroscience (Cambridge, Mass.)",10.1162/IMAG.a.145,,4
abcd_41346391,41346391,Social Determinants of Health Influence Brain and Cognitive Function in Youth.,Uddin LQ,2025,2025/09/12,Biological psychiatry global open science,10.1016/j.bpsgos.2025.100590,,4
abcd_40932681,40932681,Trajectory Moderators of Functional Outcomes and ADHD Symptoms in Children With ADHD.,Fletcher M; Silva S; Pan W; Reuter-Rice K,2025,2025/09/11,Journal of attention disorders,10.1177/10870547251367284,,4
abcd_40957099,40957099,Examination of the Association Between History of Self-Reported Mild Traumatic Brain Injury and Neurocognitive Performance.,Meng W; Vaida F; de Souza NL; Dennis EL; Wilde EA; Jacobus J; Yang X; Cheng M; Troyer EA; Delfel EL; Abildskov T; Hesselink JR; Bigler ED; Max JE,2025,2025/09/11,The Journal of head trauma rehabilitation,10.1097/HTR.0000000000001109,,4
abcd_40939908,40939908,FUNCTIONAL CONNECTIVITY PATTERNS OF THE FRONTO-PARIETAL AND CINGULO-OPERCULAR NETWORKS DEMONSTRATE DISTINCT ASSOCIATIONS WITH INDIVIDUAL DIFFERENCES IN COGNITIVE CONTROL DURING EARLY ADOLESCENCE.,Smith LL; Friedman NP; Luciana M; Banich MT,2025,2025/09/10,NeuroImage,10.1016/j.neuroimage.2025.121454,,4
abcd_40928887,40928887,The effect of caffeine use in the relationship between gaming and sleep in adolescents: A mediation analysis.,Park JJ; Han X; Potenza MN; Zhao Y,2025,2025/09/10,Journal of behavioral addictions,10.1556/2006.2025.00076,,4
abcd_40925830,40925830,"A between- and within-group approach to examine sleep, discrimination, and mental health among sexual-minority youth.",Gillis BT; Erath SA; Hinnant B; El-Sheikh M,2025,2025/09/08,Sleep health,10.1016/j.sleh.2025.08.002,,4
abcd_40916600,40916600,The role of smartphones in adolescent-parent discrepancy in reporting adolescents' internalizing problems.,Carvalho C; Koss K; Ravindran N,2025,2025/09/08,Development and psychopathology,10.1017/S0954579425100618,,4
abcd_40921796,40921796,Polygenic scores for psychiatric traits mediate the impact of multigenerational history for depression on offspring psychopathology.,Lee E; van Dijk MT; Kim BG; Kim G; Murphy E; Talati A; Joo YY; Weissman MM; Cha J,2025,2025/09/08,Molecular psychiatry,10.1038/s41380-025-03221-8,,4
abcd_40913110,40913110,Impulsivity and neuroticism share distinct functional connectivity signatures with alcohol-use risk in youth.,Cheng A; Lichenstein S; Chaarani B; Liang Q; Babaeianjelodar M; Riley SJ; Luo W; Horien C; Greene AS; Banaschewski T; Bokde ALW; Desrivières S; Flor H; Grigis A; Gowland P; Heinz A; Brühl R; Martinot JL; Martinot MP; Artiges E; Nees F; Papadopoulos Orfanos D; Poustka L; Hohmann S; Holz N; Baeuchl C; Smolka MN; Vaidya N; Walter H; Whelan R; Schumann G; Constable RT; Pearlson G; Garavan H; Yip SW,2025,2025/09/05,Molecular psychiatry,10.1038/s41380-025-03196-6,,4
abcd_40908153,40908153,Sex-specific pathways from early irritability trajectories to later suicidal ideations and behaviors: Findings from the ABCD study®.,Bellaert N; Simeone A; Zhang L; Zhuo H; Orri M; Liew Z; Tseng WL,2025,2025/09/04,"Journal of child psychology and psychiatry, and allied disciplines",10.1111/jcpp.70044,,4
abcd_40912322,40912322,Associations between resting state functional connectivity of large-scale brain networks and parent-reported symptoms of social anxiety in early adolescence.,Hickson R; Hernandez A; Barbera ER; Pozo-Neira JL; Totah N; Edwards NL; Müller-Oehring EM; Schulte T,2025,2025/09/03,Journal of affective disorders,10.1016/j.jad.2025.120238,,4
abcd_40899184,40899184,"Impact of puberty timing, status and oestradiol on psychotic experiences in the context of exposomic and genomic vulnerability to schizophrenia in female adolescents: longitudinal ABCD study.",Pries LK; Prachason T; Arias-Magnasco A; Lin BD; Rutten BPF; Guloksuz S,2025,2025/09/03,The British journal of psychiatry : the journal of mental science,10.1192/bjp.2025.36,,4
abcd_40925139,40925139,Distinct neural mechanisms underlying cognitive difficulties in preterm children born at different stages of prematurity.,Nivins S; Padilla N; Kvanta H; Mårtensson G; Ådén U,2025,2025/09/03,NeuroImage. Clinical,10.1016/j.nicl.2025.103876,,4
abcd_40909353,40909353,More similarity than difference: Comparison of within- and between-sex variance in early adolescent brain structure.,Torgerson C; Bottenhorn K; Ahmadi H; Choupan J; Herting MM,2025,2025/09/02,"Imaging neuroscience (Cambridge, Mass.)",10.1162/IMAG.a.127,,4
abcd_40932716,40932716,Modifiable Parental Factors and Adolescent Sleep During Early Adolescence.,Ge R; Whittle S; Khor SPH; Yap MBH; Bei B; Cropley V,2025,2025/09/02,JAMA network open,10.1001/jamanetworkopen.2025.31333,,4
abcd_40982276,40982276,Modification of Brain Connectome on Association Between Adverse Childhood Experiences and Development of Mental Disorders in Preadolescence.,Xiao X; Hammond CJ; Salmeron BJ; Wang D; Gu H; Zhai T; Murray L; Quam A; Hill J; Nguyen H; Lu H; Hoffman EA; Janes AC; Ross TJ; Yang Y,2025,2025/09/02,JAMA network open,10.1001/jamanetworkopen.2025.33136,,4
abcd_40785287,40785287,Testing Moderators for Associations of Neighborhood Adversity With Psychopathology and Cognitive Outcomes.,Vargas TG; McLaughlin KA; Rakesh D,2025,2025/09/01,Developmental science,10.1111/desc.70055,,4
abcd_40890942,40890942,Differential effects of sport type on brain versus orthopedic injury and sports benefits in the adolescent brain cognitive development study.,Meng W; Vaida F; Dennis EL; Wilde EA; Jacobus J; Yang X; Cheng M; Troyer EA; Delfel EL; Abildskov T; Hesselink JR; Bigler ED; Max JE,2025,2025/09/01,Brain injury,10.1080/02699052.2025.2553324,,4
abcd_40916058,40916058,Impact of Childhood Neighborhood Deprivation on White Matter and Functional Connectivity During Adolescence.,Acosta-Rodriguez H; Bobba P; Stephan A; Zeevi T; Malhotra A; Tran AT; Kaltenhauser S; Ment L; Payabvash S,2025,2025/09/01,Journal of neuroimaging : official journal of the American Society of Neuroimaging,10.1111/jon.70087,,4
abcd_40977112,40977112,Neurostructural Differences Associated With Prodromal Mania Symptoms in Children.,Archer C; Milewski A; Jeong HJ; Reimann GE; Durham EL; Kaczkurkin AN,2025,2025/09/01,Brain and behavior,10.1002/brb3.70894,,4
abcd_40995639,40995639,Examining parent and youth experiences of familism: Effects on youth well-being and family dynamics.,Rea-Sandin G; Wilson S,2025,2025/09/01,Journal of research on adolescence : the official journal of the Society for Research on Adolescence,10.1111/jora.70082,,4
abcd_40887531,40887531,The Impact of Neighborhood and Family Socioeconomic Status on Adolescents' Internalizing Symptoms: The Mediating Role of Pubertal Development Trajectory.,Ren Y; Sun L; Qiu S; Ming H; Zhang Y; Zuo C; Zhou Y; Mei K; Huang S,2025,2025/08/31,Journal of youth and adolescence,10.1007/s10964-025-02247-z,,4
abcd_developmental_patterns_of_offending_seriousness_during_childhood_and_adolescence,,Developmental Patterns of Offending Seriousness During Childhood and Adolescence: Examining Variety as a Proxy Measure and Neurodevelopmental Disorders as Predictors,Thomas Wojciechowski,2025,2025/08/29,Journal of Developmental and Life-Course Criminology,,https://link.springer.com/article/10.1007/s40865-025-00274-9,5
abcd_40883286,40883286,Using deep learning to predict internalizing problems from brain structure in youth.,Vandewouw MM; Syed B; Barnett N; Arias A; Kelley E; Jones J; Ayub M; Iaboni A; Arnold PD; Crosbie J; Schachar RJ; Taylor MJ; Lerch JP; Anagnostou E; Kushki A,2025,2025/08/29,Translational psychiatry,10.1038/s41398-025-03565-3,,5
abcd_40885227,40885227,Predicting sugar-sweetened beverage intake from the brain and known risk factors in adolescents.,Akhmadjonova M; Shearrer GE,2025,2025/08/28,Physiology & behavior,10.1016/j.physbeh.2025.115079,,5
abcd_40873382,40873382,Longitudinal Associations Between Early Noncoital Sexual and Romantic Behaviors and Adolescent Depressive Symptoms.,Vasilenko SA; Clear KL; Germain L; Jiang L; Wang X,2025,2025/08/28,Journal of adolescence,10.1002/jad.70039,,5
abcd_41510177,41510177,Measurement invariance of the perceived discrimination scale across race/ethnicity and sex: Findings from the Adolescent Brain and Cognitive Development (ABCD) study.,Xu S; Widaman KF; Patippe C; Cui L; Shi X; Krobath DM; Cuevas A; Chang VW,2025,2025/08/27,SSM. Mental health,10.1016/j.ssmmh.2025.100512,,5
abcd_40882867,40882867,"Preadolescent Family Conflict, Parental Depression, and Neural Circuitry Interact to Predict Adolescent Symptoms.",Holt-Gosselin B; Basol EZ; Keding TJ; Rodrigues K; Joormann J; Gee DG,2025,2025/08/26,Journal of the American Academy of Child and Adolescent Psychiatry,10.1016/j.jaac.2025.08.014,,5
abcd_40851543,40851543,"Research Review: On the (mis)use of puberty data in the ABCD Study® - a systematic review, problem illustration, and path forward.",Beltz AM; Pham H; Smith T; Hidalgo-Lopez E; Becker H; Portengen CM; Heitzeg MM; Kaplan C; Berenbaum SA,2025,2025/08/25,"Journal of child psychology and psychiatry, and allied disciplines",10.1111/jcpp.70035,,5
abcd_40855089,40855089,Perinatal insult dimensions and developmental trajectories of psychotic-like experiences.,Larson ER; Karcher NR; Moussa-Tooks AB,2025,2025/08/25,"Schizophrenia (Heidelberg, Germany)",10.1038/s41537-025-00662-6,,5
abcd_40861288,40861288,Early pubertal timing is a risk factor for adolescent dysmenorrhea.,Portengen CM; Smith T; Hidalgo-Lopez E; Becker H; Lenert ME; Schrepf A; Harte SE; Kaplan CM; Beltz AM,2025,2025/08/22,npj women's health,10.1038/s44294-025-00097-5,,5
abcd_40841533,40841533,A common neural signature between genetic and environmental risk for mental illness.,Vedechkina M; Holmes J; Warrier V; Astle DE,2025,2025/08/21,Translational psychiatry,10.1038/s41398-025-03513-1,,5
abcd_40839479,40839479,Inconsistent reporting of past self-injurious thoughts and behaviors in children: A longitudinal analysis of data from the adolescent Brain Cognitive Development study.,Wiglesworth A; Ostrand C; Mirza S; Xu M; Mueller BA; Fiecas MB; Luciana M; Cullen KR; Klimes-Dougan B,2025,2025/08/21,Journal of psychopathology and clinical science,10.1037/abn0001014,,5
abcd_40845930,40845930,Assessing orbitofrontal cortex volume as a predictor of subjective response to alcohol during early adolescence.,Aguilar LS; Wallace AL; Courtney KE; Wade NE,2025,2025/08/20,"Alcohol (Fayetteville, N.Y.)",10.1016/j.alcohol.2025.08.002,,5
abcd_40838900,40838900,The Bidirectional Association Between Racial Discrimination and Pubertal Development: A Prospective Investigation Among Black & Latinx Adolescents.,Curtis MG; Reck A; Collins C; Kwon E; Pinson NM; Koss KJ; Kogan SM,2025,2025/08/20,The Journal of adolescent health : official publication of the Society for Adolescent Medicine,10.1016/j.jadohealth.2025.05.026,,5
abcd_40830579,40830579,"Association between polygenic risk for Major Depression and brain structure in a mega-analysis of 50,975 participants across 11 studies.",Shen X; Toenders YJ; Han LKM; Weihs A; Alexander N; Andlauer TFM; Brosch K; Forstner AJ; Grotegerd D; Hahn T; Hermesdorf M; Hosten N; Jamalabadi H; Meinert S; Milaneschi Y; Sämann PG; Stein F; Stolicyn A; Teutenberg L; Thng G; Adams MJ; Thomas-Odenthal F; Usemann P; Völker U; Wittfeld K; Herrera-Rivero M; Jiang Y; Tian C; Groenewold NA; Koopowitz SM; Strike LT; Dannlowski U; Jansen A; Kircher T; Nenadić I; Sim K; Straube B; Völzke H; Stein DJ; Medland SE; Berger K; Grabe HJ; Krug A; McMahon KL; de Zubicaray G; Pozzi E; Veltman DJ; Thomopoulos SI; Jahanshad N; Thompson PM; Schmaal L; McIntosh AM; Whalley HC,2025,2025/08/19,Molecular psychiatry,10.1038/s41380-025-03136-4,,5
abcd_characterizing_delinquent_behavior_in_early_adolescence_results_from_the_adolesc,,Characterizing Delinquent Behavior in Early Adolescence: Results from the Adolescent Brain Cognitive Development- Social Development Study,Brislin SJ; Choi M; & Hicks BM,2025,2025/08/19,Journal of Child and Family Studies,,https://link.springer.com/article/10.1007/s10826-025-03148-2,5
